Date,.BCOMCO,.BCOMCL,.BCOMNG,.BCOMRB
2023-07-21,465.02,83.29,0.09,539.14
2023-07-20,461.24,82.51,0.09,535.74
2023-07-19,460.31,82.11,0.08,530.54
2023-07-18,461.01,82.52,0.08,522.83
2023-07-17,454.43,80.79,0.08,510.85
2023-07-16,460.89,82.15,0.08,513.06
2023-07-15,460.89,82.15,0.08,513.06
2023-07-14,460.89,82.15,0.08,513.06
2023-07-13,468.85,83.72,0.08,519.31
2023-07-12,461.92,82.39,0.08,515.24
2023-07-11,457.74,81.48,0.09,506.16
2023-07-10,447.94,79.56,0.08,495.47
2023-07-09,452.44,80.46,0.08,498.43
2023-07-08,452.44,80.46,0.08,498.43
2023-07-07,452.44,80.46,0.08,498.43
2023-07-06,441.2,78.3,0.08,488.88
2023-07-05,441.95,78.39,0.09,485.96
2023-07-04,430.41,76.25,0.09,475.03
2023-07-03,430.41,76.25,0.09,475.03
2023-07-02,434.8,77.19,0.09,489.22
2023-07-01,434.8,77.19,0.09,489.22
2023-06-30,434.8,77.19,0.09,489.22
2023-06-29,429.61,76.37,0.09,480.59
2023-06-28,428.05,76.05,0.09,478.33
2023-06-27,418.08,74.05,0.09,465.79
2023-06-26,428.68,75.84,0.09,473.08
2023-06-25,426.72,75.6,0.09,470.44
2023-06-24,426.72,75.6,0.09,470.44
2023-06-23,426.72,75.6,0.09,470.44
2023-06-22,428.68,75.94,0.09,476.84
2023-06-21,444.77,79.09,0.09,489.75
2023-06-20,437.56,77.63,0.08,485.8
2023-06-19,441.54,78.44,0.09,498.06
2023-06-18,441.54,78.44,0.09,498.06
2023-06-17,441.54,78.44,0.09,498.06
2023-06-16,441.54,78.44,0.09,498.06
2023-06-15,436.24,77.27,0.08,487.67
2023-06-14,421.88,74.7,0.08,471.08
2023-06-13,427.88,75.9,0.08,474.1
2023-06-12,414.1,73.4,0.08,461.2
2023-06-11,430.93,76.67,0.08,479.93
2023-06-10,430.93,76.67,0.08,479.93
2023-06-09,430.93,76.67,0.08,479.93
2023-06-08,437.28,77.86,0.08,483.82
2023-06-07,443.04,79.19,0.08,489.07
2023-06-06,438.72,78.33,0.08,474.83
2023-06-05,440.91,78.78,0.08,467.44
2023-06-04,438.03,78.33,0.07,463.05
2023-06-03,438.03,78.33,0.07,463.05
2023-06-02,438.03,78.33,0.07,463.05
2023-06-01,427.88,76.54,0.07,451.11
2023-05-31,417.96,74.34,0.08,452.51
2023-05-30,424.01,75.84,0.08,459.07
2023-05-29,442.58,79.34,0.08,479.83
2023-05-28,442.58,79.34,0.08,479.83
2023-05-27,442.58,79.34,0.08,479.83
2023-05-26,442.58,79.34,0.08,479.83
2023-05-25,437.68,78.43,0.08,472.66
2023-05-24,449.33,81.17,0.09,485.14
2023-05-23,440.85,79.61,0.08,474.03
2023-05-22,435.72,78.67,0.09,470.12
2023-05-21,433.53,78.27,0.09,462.49
2023-05-20,433.53,78.27,0.09,462.49
2023-05-19,433.53,78.27,0.09,462.49
2023-05-18,435.78,78.55,0.09,463.83
2023-05-17,441.14,79.58,0.08,465.49
2023-05-16,428.97,77.35,0.08,449.85
2023-05-15,430.65,77.62,0.08,448.75
2023-05-14,424.07,76.45,0.08,440.9
2023-05-13,424.07,76.45,0.08,440.9
2023-05-12,424.07,76.45,0.08,440.9
2023-05-11,429.2,77.39,0.08,446.13
2023-05-10,437.99,79.18,0.08,453.2
2023-05-09,443.71,80.38,0.08,451.66
2023-05-08,441.1,79.78,0.08,448.4
2023-05-07,431.29,77.82,0.08,434.22
2023-05-06,431.29,77.82,0.08,434.22
2023-05-05,431.29,77.82,0.08,434.22
2023-05-04,415.25,74.8,0.08,424.0
2023-05-03,414.28,74.85,0.08,423.11
2023-05-02,431.4,78.12,0.08,442.61
2023-05-01,454.26,82.45,0.08,463.44
2023-04-30,460.1,83.65,0.09,460.7
2023-04-29,460.1,83.65,0.09,460.7
2023-04-28,460.1,83.65,0.09,460.7
2023-04-27,448.01,81.43,0.09,453.79
2023-04-26,445.15,81.0,0.08,457.25
2023-04-25,461.65,83.93,0.09,466.53
2023-04-24,472.76,85.82,0.09,476.53
2023-04-23,466.57,84.85,0.09,469.79
2023-04-22,466.57,84.85,0.09,469.79
2023-04-21,466.57,84.85,0.09,469.79
2023-04-20,462.85,84.19,0.09,466.16
2023-04-19,474.19,86.21,0.09,476.47
2023-04-18,483.7,88.01,0.09,492.84
2023-04-17,483.7,87.96,0.09,496.44
2023-04-16,491.83,89.6,0.09,506.16
2023-04-15,491.83,89.6,0.09,506.16
2023-04-14,491.83,89.6,0.09,506.16
2023-04-13,490.74,89.19,0.08,505.13
2023-04-12,496.87,90.3,0.08,511.54
2023-04-11,487.82,88.51,0.09,509.29
2023-04-10,479.92,86.59,0.09,499.24
2023-04-09,484.96,87.63,0.08,500.2
2023-04-08,484.96,87.63,0.08,500.2
2023-04-07,484.96,87.63,0.08,500.2
2023-04-06,484.96,87.63,0.08,500.2
2023-04-05,484.67,87.54,0.09,501.41
2023-04-04,484.27,87.65,0.08,486.65
2023-04-03,484.27,87.33,0.08,490.28
2023-04-02,456.66,82.17,0.09,476.67
2023-04-01,456.66,82.17,0.09,476.67
2023-03-31,456.66,82.17,0.09,476.67
2023-03-30,449.39,80.76,0.08,468.99
2023-03-29,443.55,79.24,0.09,468.9
2023-03-28,446.64,79.49,0.09,476.59
2023-03-27,444.92,79.07,0.09,472.07
2023-03-26,426.82,75.21,0.09,454.24
2023-03-25,426.82,75.21,0.09,454.24
2023-03-24,426.82,75.21,0.09,454.24
2023-03-23,431.86,75.97,0.09,456.42
2023-03-22,436.73,76.99,0.09,455.16
2023-03-21,429.06,75.66,0.1,445.61
2023-03-20,420.87,73.65,0.09,443.92
