Date,.BCOMWH,.BCOMCN,.BCOMSY,.BCOMKC,.BCOMSB,.BCOMCC,.BCOMCT
2023-07-21,6.9,12.71,336.5,10.28,141.63,33.49,31.51
2023-07-20,6.94,12.91,338.66,10.27,141.69,33.38,31.54
2023-07-19,6.95,13.11,339.63,10.11,139.05,33.83,31.33
2023-07-18,6.4,12.71,336.37,10.16,137.04,33.57,30.77
2023-07-17,6.24,12.0,332.22,10.13,136.69,33.1,30.72
2023-07-16,6.32,12.18,330.47,10.45,139.68,33.03,30.38
2023-07-15,6.32,12.18,330.47,10.45,139.68,33.03,30.38
2023-07-14,6.32,12.18,330.47,10.45,139.68,33.03,30.38
2023-07-13,6.11,11.86,330.23,10.24,137.9,32.19,30.55
2023-07-12,6.04,11.45,320.1,10.2,137.32,32.9,30.54
2023-07-11,6.31,11.89,327.94,10.24,135.14,32.83,30.72
2023-07-10,6.17,11.83,324.38,10.39,134.62,32.86,29.64
2023-07-09,6.2,11.71,317.69,10.46,135.14,32.61,30.36
2023-07-08,6.2,11.71,317.69,10.46,135.14,32.61,30.36
2023-07-07,6.2,11.71,317.69,10.46,135.14,32.61,30.36
2023-07-06,6.28,11.99,322.93,10.43,133.53,32.64,29.88
2023-07-05,6.44,11.66,326.67,10.33,135.14,33.19,30.01
2023-07-04,6.13,11.73,326.37,10.43,133.94,33.49,30.45
2023-07-03,6.13,11.73,326.37,10.43,133.94,33.49,30.45
2023-07-02,6.22,11.74,323.84,10.33,130.89,33.04,30.06
2023-07-01,6.22,11.74,323.84,10.33,130.89,33.04,30.06
2023-06-30,6.22,11.74,323.84,10.33,130.89,33.04,30.06
2023-06-29,6.37,12.58,305.15,10.5,126.81,32.13,29.56
2023-06-28,6.4,12.77,304.97,10.53,129.8,32.89,28.94
2023-06-27,6.67,13.37,312.02,10.85,131.98,32.1,28.82
2023-06-26,7.05,14.04,318.96,10.73,135.89,32.1,29.12
2023-06-25,7.13,14.06,315.82,10.71,139.51,31.56,29.43
2023-06-24,7.13,14.06,315.82,10.71,139.51,31.56,29.43
2023-06-23,7.13,14.06,315.82,10.71,139.51,31.56,29.43
2023-06-22,7.19,14.83,322.93,11.06,143.41,31.63,29.98
2023-06-21,7.14,14.99,331.97,11.19,148.47,31.89,30.12
2023-06-20,6.77,14.25,323.72,11.44,149.5,31.64,30.19
2023-06-19,6.7,14.28,323.6,11.75,149.84,31.88,29.96
2023-06-18,6.7,14.28,323.6,11.75,149.84,31.88,29.96
2023-06-17,6.7,14.28,323.6,11.75,149.84,31.88,29.96
2023-06-16,6.7,14.28,323.6,11.75,149.84,31.88,29.96
2023-06-15,6.42,13.7,311.54,11.89,147.2,32.14,29.77
2023-06-14,6.12,13.1,298.95,11.71,145.71,31.55,29.97
