Date,.BCOM,.BCOMEN,.BCOMIN,.BCOMAG
2023-07-21,105.98,34.09,143.68,70.21
2023-07-20,106.04,33.87,143.77,70.63
2023-07-19,105.52,33.38,142.59,70.47
2023-07-18,104.91,33.38,143.59,68.91
2023-07-17,103.59,32.61,144.84,67.81
2023-07-16,104.6,33.03,147.39,68.29
2023-07-15,104.6,33.03,147.39,68.29
2023-07-14,104.6,33.03,147.39,68.29
2023-07-13,104.52,33.42,147.6,67.51
2023-07-12,103.39,33.27,145.4,66.18
2023-07-11,103.1,33.27,141.21,67.36
2023-07-10,102.15,32.61,141.38,66.88
2023-07-09,101.91,32.58,141.25,66.37
2023-07-08,101.91,32.58,141.25,66.37
2023-07-07,101.91,32.58,141.25,66.37
2023-07-06,101.39,31.99,140.76,67.08
2023-07-05,102.03,32.18,141.5,67.45
2023-07-04,101.25,31.66,141.67,66.89
2023-07-03,101.25,31.66,141.67,66.89
2023-07-02,101.48,32.19,141.35,66.48
2023-07-01,101.48,32.19,141.35,66.48
2023-06-30,101.48,32.19,141.35,66.48
2023-06-29,100.25,31.64,140.16,65.62
2023-06-28,100.33,31.45,140.59,65.97
2023-06-27,101.22,31.25,142.82,67.89
2023-06-26,102.48,32.03,141.04,69.57
2023-06-25,102.35,31.78,143.27,69.57
2023-06-24,102.35,31.78,143.27,69.57
2023-06-23,102.35,31.78,143.27,69.57
2023-06-22,103.22,31.59,145.82,71.34
2023-06-21,104.77,32.4,146.04,72.49
2023-06-20,103.62,31.65,146.04,71.16
2023-06-19,105.14,32.45,149.0,71.37
2023-06-18,105.14,32.45,149.0,71.37
2023-06-17,105.14,32.45,149.0,71.37
2023-06-16,105.14,32.45,149.0,71.37
2023-06-15,103.51,31.75,148.61,69.35
2023-06-14,101.28,30.42,148.03,67.19
2023-06-13,101.11,30.74,145.23,67.11
2023-06-12,99.93,29.79,142.58,66.77
2023-06-11,100.96,30.69,144.71,66.62
2023-06-10,100.96,30.69,144.71,66.62
2023-06-09,100.96,30.69,144.71,66.62
2023-06-08,101.39,31.26,144.45,66.58
2023-06-07,100.68,31.54,143.54,65.37
2023-06-06,100.43,31.03,142.23,65.46
2023-06-05,100.06,31.06,142.45,65.03
2023-06-04,99.82,30.66,142.94,65.19
2023-06-03,99.82,30.66,142.94,65.19
2023-06-02,99.82,30.66,142.94,65.19
2023-06-01,99.19,30.07,142.86,64.58
2023-05-31,97.96,29.82,140.35,63.55
2023-05-30,98.33,30.37,141.4,63.49
2023-05-29,100.08,31.65,142.48,65.1
2023-05-28,100.08,31.65,142.48,65.1
2023-05-27,100.08,31.65,142.48,65.1
2023-05-26,100.08,31.65,142.48,65.1
2023-05-25,99.29,31.51,140.48,64.23
2023-05-24,100.58,32.49,139.38,64.67
2023-05-23,100.49,31.8,141.97,64.98
2023-05-22,100.87,31.72,144.13,65.2
2023-05-21,101.07,32.03,145.56,64.43
2023-05-20,101.07,32.03,145.56,64.43
2023-05-19,101.07,32.03,145.56,64.43
2023-05-18,100.97,32.18,144.26,64.7
2023-05-17,101.42,31.86,146.38,65.29
2023-05-16,101.17,31.25,143.92,66.24
2023-05-15,102.32,31.34,146.05,67.39
2023-05-14,101.18,30.66,146.02,66.48
2023-05-13,101.18,30.66,146.02,66.48
2023-05-12,101.18,30.66,146.02,66.48
2023-05-11,101.12,30.73,145.07,66.38
2023-05-10,102.73,31.2,149.5,67.06
2023-05-09,103.55,31.62,152.76,66.99
2023-05-08,103.7,31.48,154.19,67.6
2023-05-07,102.96,30.61,153.56,67.96
2023-05-06,102.96,30.61,153.56,67.96
2023-05-05,102.96,30.61,153.56,67.96
2023-05-04,101.65,29.69,151.52,66.54
2023-05-03,101.54,29.8,152.86,66.31
2023-05-02,102.33,30.91,154.16,65.66
2023-05-01,103.67,32.38,154.49,66.28
2023-04-30,104.31,32.84,153.9,66.65
2023-04-29,104.31,32.84,153.9,66.65
2023-04-28,104.31,32.84,153.9,66.65
2023-04-27,103.34,32.18,152.53,66.24
2023-04-26,103.45,32.04,152.19,67.0
2023-04-25,104.61,33.21,151.67,67.37
2023-04-24,106.0,33.93,155.91,67.85
2023-04-23,105.58,33.39,156.98,68.09
2023-04-22,105.58,33.39,156.98,68.09
2023-04-21,105.58,33.39,156.98,68.09
2023-04-20,106.39,33.28,159.09,68.98
2023-04-19,107.33,33.82,160.82,69.76
2023-04-18,108.75,34.75,161.69,70.62
2023-04-17,108.03,34.58,158.83,70.24
2023-04-16,107.82,34.75,159.37,69.1
