Date,.BCOMGC,.BCOMPL,.BCOMPA,.BCOMAL,.BCOMSI,.BCOMHG,.BCOMZS,.BCOMPB,.BCOMNI
2023-07-21,205.87,232.14,549.2757,29.69,215.84,343.92,78.57,192.2,198.09
2023-07-20,205.59,230.75,549.2757,29.58,215.21,341.56,78.08,190.96,196.8
2023-07-19,206.59,235.7,563.1013,29.44,218.87,339.73,77.29,188.7,193.33
2023-07-18,206.59,238.0,567.0207,29.62,217.74,341.11,78.4,189.45,195.05
2023-07-17,204.09,236.35,551.7738,30.32,215.69,342.4,78.89,189.79,194.69
2023-07-16,204.89,235.58,545.4424,30.63,217.21,350.33,79.8,191.84,200.14
2023-07-15,204.89,235.58,545.4424,30.63,217.21,350.33,79.8,191.84,200.14
2023-07-14,204.89,235.58,545.4424,30.63,217.21,350.33,79.8,191.84,200.14
2023-07-13,204.84,235.37,556.3823,30.67,215.1,350.96,81.11,192.25,197.01
2023-07-12,204.62,228.95,551.2138,30.11,209.59,343.21,79.4,188.5,200.68
2023-07-11,202.08,223.16,537.4744,29.18,200.72,335.46,77.12,185.47,191.62
2023-07-10,201.44,223.74,532.6505,28.87,201.27,337.1,77.01,186.42,194.49
2023-07-09,201.6,219.83,536.2684,28.91,200.79,336.88,77.34,185.52,192.68
2023-07-08,201.6,219.83,536.2684,28.91,200.79,336.88,77.34,185.52,192.68
2023-07-07,201.6,219.83,536.2684,28.91,200.79,336.88,77.34,185.52,192.68
2023-07-06,199.82,217.73,533.8134,28.7,197.35,332.65,77.4,185.41,196.47
2023-07-05,201.04,221.39,541.7814,28.89,201.76,335.68,77.22,186.83,196.52
2023-07-04,201.29,219.24,528.4727,29.09,199.26,337.95,77.45,189.27,190.79
2023-07-03,201.29,219.24,528.4727,29.09,199.26,337.95,77.45,189.27,190.79
2023-07-02,201.28,218.57,526.3192,29.03,198.47,334.88,78.28,189.97,190.28
2023-07-01,201.28,218.57,526.3192,29.03,198.47,334.88,78.28,189.97,190.28
2023-06-30,201.28,218.57,526.3192,29.03,198.47,334.88,78.28,189.97,190.28
2023-06-29,200.08,217.03,528.645,29.16,196.55,329.49,76.75,185.36,191.41
2023-06-28,200.53,221.37,537.0437,29.36,199.02,333.36,77.0,187.24,186.04
2023-06-27,200.69,223.54,557.3729,29.67,199.57,337.46,78.22,189.53,192.89
2023-06-26,201.74,223.28,561.0769,29.04,198.5,338.89,76.31,187.08,188.38
2023-06-25,201.3,221.84,550.8693,29.41,194.41,339.87,77.52,191.93,197.82
2023-06-24,201.3,221.84,550.8693,29.41,194.41,339.87,77.52,191.93,197.82
2023-06-23,201.3,221.84,550.8693,29.41,194.41,339.87,77.52,191.93,197.82
2023-06-22,200.68,222.37,548.1128,29.77,195.45,347.44,80.52,195.62,196.62
2023-06-21,202.89,228.07,578.9942,30.06,198.46,348.33,79.18,196.34,197.14
2023-06-20,203.19,232.61,593.9827,30.15,202.13,346.81,77.31,193.76,204.48
2023-06-19,205.64,237.43,609.9618,30.73,209.84,347.26,81.19,193.45,213.79
2023-06-18,205.64,237.43,609.9618,30.73,209.84,347.26,81.19,193.45,213.79
2023-06-17,205.64,237.43,609.9618,30.73,209.84,347.26,81.19,193.45,213.79
2023-06-16,205.64,237.43,609.9618,30.73,209.84,347.26,81.19,193.45,213.79
2023-06-15,205.59,238.45,601.8215,30.43,208.28,347.75,81.25,192.43,213.34
2023-06-14,205.4,235.58,603.9319,30.47,209.7,345.3,81.45,191.3,210.85
